,Unnamed: 0,brand,year,price_in_euro,power_ps
59614,181983,seat,2019,28990,190
59615,181984,seat,2019,31000,190
59616,181985,seat,2019,31500,190
59617,181986,seat,2019,15500,131
59618,181987,seat,2019,18999,150
59619,181988,seat,2019,26990,290
59620,181989,seat,2019,34999,177
59621,181991,seat,2019,13790,116
59622,181992,seat,2019,24300,150
59623,181993,seat,2019,22955,150
59624,181994,seat,2019,23300,150
59625,181995,seat,2019,25299,150
59626,181996,seat,2019,23885,190
59627,181997,seat,2019,16499,116
59628,181998,seat,2019,29950,190
59629,181999,seat,2019,19870,150
59630,182000,seat,2019,29990,190
59631,182002,seat,2019,29990,190
59632,182003,seat,2019,18950,150
59633,182004,seat,2019,25990,150
59634,182005,seat,2019,29980,190
59635,182006,seat,2019,28950,300
59636,182008,seat,2019,32950,150
59637,182009,seat,2019,18980,150
59638,182010,seat,2019,25950,150
59639,182011,seat,2019,26950,300
59640,182012,seat,2019,31719,190
59641,182013,seat,2019,18980,150
59642,182014,seat,2019,15800,116
59643,182015,seat,2019,14750,116
59644,182016,seat,2019,26890,150
59645,182017,seat,2019,19490,150
59646,182018,seat,2019,18780,131
59647,182019,seat,2019,33290,190
59648,182020,seat,2019,15990,116
59649,182021,seat,2019,27499,300
59650,182022,seat,2019,19990,150
59651,182023,seat,2019,18960,116
59652,182024,seat,2019,33920,300
59653,182025,seat,2019,29830,190
59654,182027,seat,2019,16390,116
59655,182030,seat,2019,25989,150
59656,182031,seat,2019,27950,150
59657,182032,seat,2019,29870,150
59658,182033,seat,2019,19800,179
59659,182035,seat,2019,16380,95
59660,182037,seat,2019,16980,95
59661,182038,seat,2019,19945,116
59662,182039,seat,2019,18200,131
59663,182040,seat,2019,24990,300
59664,182041,seat,2019,30965,300
59665,182043,seat,2019,29480,190
59666,182044,seat,2019,17990,150
59667,182045,seat,2019,29980,190
59668,182046,seat,2019,16990,116
59669,182047,seat,2019,17990,150
59670,182048,seat,2019,23500,150
59671,182049,seat,2019,22490,190
59672,182050,seat,2019,20500,150
59673,182051,seat,2019,39500,177
59674,182052,seat,2019,31490,190
59675,182053,seat,2019,25980,300
59676,182054,seat,2019,27990,190
59677,182055,seat,2019,20980,150
59678,182056,seat,2019,21780,150
59679,182057,seat,2019,21900,150
59680,182058,seat,2019,28290,290
59681,182059,seat,2019,20990,150
59682,182060,seat,2019,35999,150
59683,182061,seat,2019,16900,116
59684,182062,seat,2019,27980,150
59685,182063,seat,2019,23489,150
59686,182064,seat,2019,24680,150
59687,182065,seat,2019,18499,116
59688,182066,seat,2019,15280,95
59689,182067,seat,2019,23990,150
59690,182068,seat,2019,26900,150
59691,182069,seat,2019,25490,190
59692,182070,seat,2019,31980,177
59693,182072,seat,2019,25980,150
59694,182073,seat,2019,25990,150
59695,182074,seat,2019,30990,190
59696,182075,seat,2019,33489,190
59697,182076,seat,2019,29790,150
59698,182077,seat,2019,20650,131
59699,182078,seat,2019,26750,190
59700,182079,seat,2019,24380,150
59701,182080,seat,2019,27890,190
59702,182081,seat,2019,24997,150
59703,182082,seat,2019,20950,150
59704,182083,seat,2019,25170,150
59705,182084,seat,2019,18890,150
59706,182085,seat,2019,33990,300
59707,182086,seat,2019,31999,300
59708,182088,seat,2019,17500,116
59709,182089,seat,2019,27490,190
59710,182090,seat,2019,21000,150
59711,182091,seat,2019,24111,116
59712,182092,seat,2019,20930,190
59713,182093,seat,2019,18990,177
59714,182094,seat,2019,25390,190
59715,182095,seat,2019,21450,177
59716,182096,seat,2019,30967,190
59717,182097,seat,2019,33990,300
59718,182098,seat,2019,16480,131
59719,182099,seat,2019,24700,150
59720,182101,seat,2019,35990,190
59721,182102,seat,2019,23688,150
59722,182103,seat,2019,17950,150
59723,182104,seat,2019,22650,150
59724,182105,seat,2019,29700,150
59725,182106,seat,2019,30750,300
59726,182107,seat,2019,18980,116
59727,182108,seat,2019,27890,150
59728,182109,seat,2019,24900,150
59729,182111,seat,2019,13990,116
59730,182112,seat,2019,20450,131
59731,182113,seat,2019,24990,150
59732,182116,seat,2019,17880,150
59733,182117,seat,2019,22950,150
59734,182118,seat,2019,23450,150
59735,182119,seat,2019,14790,95
59736,182120,seat,2019,23450,150
59737,182121,seat,2019,23950,190
59738,182122,seat,2019,26958,150
59739,182123,seat,2019,27490,150
59740,182124,seat,2019,27490,190
59741,182125,seat,2019,21888,150
59742,182126,seat,2019,26930,150
59743,182127,seat,2019,24290,150
59744,182128,seat,2019,30990,190
59745,182129,seat,2019,17499,131
59746,182131,seat,2019,33990,177
59747,182132,seat,2019,28850,290
59748,182133,seat,2019,28750,190
59749,182134,seat,2019,24180,116
59750,182135,seat,2019,27991,190
59751,182136,seat,2019,19879,150
59752,182137,seat,2019,17550,131
59753,182138,seat,2019,15950,116
59754,182140,seat,2019,21980,150
59755,182141,seat,2019,35990,190
59756,182143,seat,2019,19490,116
59757,182144,seat,2019,23990,150
59758,182145,seat,2019,25490,150
59759,182146,seat,2019,15950,95
59760,182147,seat,2019,15890,95
59761,182148,seat,2019,20720,150
59762,182149,seat,2019,23950,150
59763,182150,seat,2019,19180,116
59764,182151,seat,2019,25800,150
59765,182152,seat,2019,17890,116
59766,182153,seat,2019,17995,116
59767,182154,seat,2019,26980,150
59768,182155,seat,2019,25800,150
59769,182156,seat,2019,15950,95
59770,182157,seat,2019,28450,150
59771,182158,seat,2019,30180,190
59772,182159,seat,2019,21990,150
59773,182160,seat,2019,18200,150
59774,182161,seat,2019,17950,95
59775,182162,seat,2019,22990,150
59776,182163,seat,2019,23777,150
59777,182164,seat,2019,27780,300
59778,182165,seat,2019,28299,150
59779,182166,seat,2019,27880,150
59780,182167,seat,2019,18780,116
59781,182168,seat,2019,21700,150
59782,182169,seat,2019,23900,300
59783,182170,seat,2019,27450,150
59784,182171,seat,2019,26777,300
59785,182172,seat,2019,22399,150
59786,182173,seat,2019,22770,190
59787,182174,seat,2019,30450,300
59788,182175,seat,2019,21800,150
59789,182176,seat,2019,25999,177
59790,182177,seat,2019,17450,116
59791,182178,seat,2019,21480,150
59792,182179,seat,2019,25444,300
59793,182180,seat,2019,17990,116
59794,182181,seat,2019,21050,150
59795,182182,seat,2019,21800,190
59796,182184,seat,2019,24990,150
59797,182185,seat,2019,24950,150
59798,182187,seat,2019,9790,116
59799,182188,seat,2019,16880,116
59800,182190,seat,2019,28880,150
59801,182191,seat,2019,26890,190
59802,182192,seat,2019,33930,150
59803,182194,seat,2019,20990,131
59804,182195,seat,2019,15890,95
59805,182196,seat,2019,21970,150
59806,182197,seat,2019,18190,131
59807,182198,seat,2019,35220,150
59808,182199,seat,2019,18150,116
59809,182200,seat,2019,19900,150
59810,182201,seat,2019,33650,300
59811,182202,seat,2019,27666,150
59812,182203,seat,2019,27980,150
59813,182204,seat,2019,23980,150
59814,182205,seat,2019,33450,190
59815,182206,seat,2019,16990,95
59816,182207,seat,2019,31990,150
59817,182208,seat,2019,25949,150
59818,182209,seat,2019,18180,95
59819,182210,seat,2019,15490,95
59820,182211,seat,2019,25490,190
59821,182212,seat,2019,23800,150
59822,182213,seat,2019,27900,177
59823,182214,seat,2019,17500,150
59824,182215,seat,2019,20990,150
59825,182216,seat,2019,31400,150
59826,182217,seat,2019,28650,150
59827,182218,seat,2019,16190,95
59828,182219,seat,2019,14500,95
59829,182221,seat,2019,17980,95
59830,182222,seat,2019,16990,95
59831,182223,seat,2019,28950,177
59832,182224,seat,2019,23990,150
59833,182225,seat,2019,31990,300
59834,182226,seat,2019,18490,116
59835,182227,seat,2019,26860,290
59836,182228,seat,2019,27990,190
59837,182229,seat,2019,12890,80
59838,182230,seat,2019,15990,95
59839,182231,seat,2019,19970,150
59840,182232,seat,2019,16980,116
59841,182233,seat,2019,25888,150
59842,182234,seat,2019,18100,116
59843,182235,seat,2019,14220,95
59844,182236,seat,2019,15700,95
59845,182237,seat,2019,32888,150
59846,182238,seat,2019,30650,300
59847,182239,seat,2019,16480,95
59848,182240,seat,2019,24950,150
59849,182242,seat,2019,27660,190
59850,182243,seat,2019,15490,95
59851,182244,seat,2019,13899,80
59852,182246,seat,2019,19480,116
59853,182247,seat,2019,22990,177
59854,182248,seat,2019,23290,190
59855,182249,seat,2019,16490,95
59856,182250,seat,2019,15980,116
59857,182252,seat,2019,29830,150
59858,182253,seat,2019,27990,150
59859,182254,seat,2019,28990,150
59860,182255,seat,2019,29980,190
59861,182257,seat,2019,27444,150
59862,182259,seat,2019,18150,95
59863,182260,seat,2019,20740,116
59864,182264,seat,2019,23490,190
59865,182265,seat,2019,34950,150
59866,182266,seat,2019,29990,150
59867,182267,seat,2019,17480,95
59868,182268,seat,2019,31190,190
59869,182269,seat,2019,14930,95
59870,182270,seat,2019,15940,116
59871,182272,seat,2019,23490,150
59872,182273,seat,2019,24899,150
59873,182274,seat,2019,20790,150
59874,182275,seat,2019,18800,95
59875,182277,seat,2019,21980,150
59876,182278,seat,2019,31930,190
59877,182279,seat,2019,17180,150
59878,182281,seat,2019,17180,95
59879,182284,seat,2019,18880,116
59880,182285,seat,2019,18949,150
59881,182286,seat,2019,25990,150
59882,182287,seat,2019,16190,95
59883,182288,seat,2019,29490,300
59884,182289,seat,2019,18491,116
59885,182290,seat,2019,17995,150
59886,182291,seat,2019,15590,116
59887,182292,seat,2019,15460,131
59888,182293,seat,2019,18400,95
59889,182294,seat,2019,21930,150
59890,182295,seat,2019,21590,116
59891,182296,seat,2019,33222,300
59892,182297,seat,2019,12900,80
59893,182298,seat,2019,19900,190
59894,182300,seat,2019,15488,90
59895,182302,seat,2019,16490,116
