,Unnamed: 0,brand,year,price_in_euro,power_ps
79264,238520,volkswagen,2019,24990,190
79265,238521,volkswagen,2019,52990,150
79266,238522,volkswagen,2019,22977,150
79267,238523,volkswagen,2019,53960,199
79268,238524,volkswagen,2019,21999,116
79269,238525,volkswagen,2019,19980,116
79270,238526,volkswagen,2019,15990,102
79271,238527,volkswagen,2019,20580,116
79272,238528,volkswagen,2019,14875,116
79273,238529,volkswagen,2019,18930,102
79274,238530,volkswagen,2019,20679,116
79275,238531,volkswagen,2019,23950,116
79276,238532,volkswagen,2019,27990,150
79277,238533,volkswagen,2019,11479,60
79278,238536,volkswagen,2019,14000,75
79279,238537,volkswagen,2019,33970,272
79280,238541,volkswagen,2019,18690,150
79281,238542,volkswagen,2019,24422,150
79282,238543,volkswagen,2019,17424,150
79283,238544,volkswagen,2019,13930,75
79284,238545,volkswagen,2019,18430,116
79285,238546,volkswagen,2019,12780,60
79286,238547,volkswagen,2019,21090,131
79287,238548,volkswagen,2019,29990,150
79288,238549,volkswagen,2019,28350,150
79289,238550,volkswagen,2019,24990,150
79290,238551,volkswagen,2019,24490,150
79291,238552,volkswagen,2019,24870,150
79292,238553,volkswagen,2019,28970,184
79293,238555,volkswagen,2019,38930,300
79294,238556,volkswagen,2019,28191,190
79295,238557,volkswagen,2019,33470,272
79296,238558,volkswagen,2019,32980,290
79297,238559,volkswagen,2019,26995,150
79298,238560,volkswagen,2019,24555,150
79299,238561,volkswagen,2019,65500,421
79300,238562,volkswagen,2019,25990,190
79301,238563,volkswagen,2019,24880,150
79302,238564,volkswagen,2019,24870,150
79303,238565,volkswagen,2019,47890,286
79304,238566,volkswagen,2019,16890,116
79305,238567,volkswagen,2019,30970,272
79306,238568,volkswagen,2019,32990,190
79307,238569,volkswagen,2019,21620,116
79308,238570,volkswagen,2019,24990,150
79309,238571,volkswagen,2019,11999,116
79310,238572,volkswagen,2019,25946,184
79311,238575,volkswagen,2019,18830,150
79312,238576,volkswagen,2019,15950,150
79313,238577,volkswagen,2019,19990,200
79314,238578,volkswagen,2019,19370,150
79315,238579,volkswagen,2019,27380,245
79316,238580,volkswagen,2019,28390,190
79317,238581,volkswagen,2019,31480,190
79318,238582,volkswagen,2019,26180,150
79319,238583,volkswagen,2019,15490,95
79320,238584,volkswagen,2019,66970,421
79321,238585,volkswagen,2019,19220,116
79322,238586,volkswagen,2019,29191,190
79323,238587,volkswagen,2019,28970,190
79324,238588,volkswagen,2019,28430,150
79325,238589,volkswagen,2019,24900,150
79326,238590,volkswagen,2019,13550,65
79327,238591,volkswagen,2019,24999,150
79328,238592,volkswagen,2019,26960,150
79329,238593,volkswagen,2019,24750,150
79330,238594,volkswagen,2019,24400,150
79331,238595,volkswagen,2019,18149,116
79332,238596,volkswagen,2019,29430,290
79333,238597,volkswagen,2019,21990,150
79334,238598,volkswagen,2019,28990,190
79335,238599,volkswagen,2019,25990,245
79336,238600,volkswagen,2019,16990,116
79337,238601,volkswagen,2019,19930,116
79338,238602,volkswagen,2019,22379,150
79339,238603,volkswagen,2019,20590,116
79340,238604,volkswagen,2019,33575,150
79341,238605,volkswagen,2019,18990,290
79342,238606,volkswagen,2019,20999,116
79343,238607,volkswagen,2019,16400,131
79344,238608,volkswagen,2019,23970,95
79345,238609,volkswagen,2019,29889,190
79346,238610,volkswagen,2019,20930,290
79347,238611,volkswagen,2019,17977,131
79348,238613,volkswagen,2019,89990,421
79349,238614,volkswagen,2019,20500,190
79350,238615,volkswagen,2019,31890,131
79351,238616,volkswagen,2019,19950,190
79352,238617,volkswagen,2019,25900,116
79353,238618,volkswagen,2019,56900,150
79354,238619,volkswagen,2019,15900,199
79355,238620,volkswagen,2019,21430,150
79356,238621,volkswagen,2019,17889,150
79357,238622,volkswagen,2019,14440,116
79358,238623,volkswagen,2019,18957,150
79359,238624,volkswagen,2019,29970,116
79360,238625,volkswagen,2019,20280,190
79361,238626,volkswagen,2019,26580,116
79362,238627,volkswagen,2019,43990,150
79363,238629,volkswagen,2019,17950,116
79364,238631,volkswagen,2019,18400,116
79365,238632,volkswagen,2019,45800,258
79366,238633,volkswagen,2019,25946,184
79367,238634,volkswagen,2019,16990,116
