,brand,model,color,registration_date,year,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km
1093,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,156,Automatic,Petrol,5.9,10.0
1094,alfa-romeo,Alfa Romeo Tonale,grey,09/2022,2022,42249,160,Automatic,Petrol,5.8,49.0
1095,alfa-romeo,Alfa Romeo Stelvio,grey,09/2022,2022,54895,209,Automatic,Diesel,5.6,9000.0
1096,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,39099,131,Automatic,Hybrid,6.2,5000.0
1097,alfa-romeo,Alfa Romeo Tonale,grey,11/2022,2022,47999,160,Automatic,Petrol,6.5,100.0
1098,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,156,Automatic,Petrol,5.9,10.0
1099,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,40890,131,Automatic,Petrol,6.1,2222.0
1100,alfa-romeo,Alfa Romeo Stelvio,grey,10/2022,2022,61300,280,Automatic,Petrol,9.1,3500.0
1101,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,39990,131,Automatic,Petrol,5.9,2200.0
1102,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,41490,131,Automatic,Petrol,6.2,5999.0
1103,alfa-romeo,Alfa Romeo Stelvio,grey,09/2022,2022,56950,280,Automatic,Petrol,8.8,50.0
1104,alfa-romeo,Alfa Romeo Stelvio,grey,01/2022,2022,45590,280,Automatic,Petrol,8.5,10.0
1105,alfa-romeo,Alfa Romeo Tonale,grey,08/2022,2022,41449,131,Automatic,Petrol,6.2,250.0
1106,alfa-romeo,Alfa Romeo Tonale,grey,10/2022,2022,57890,160,Automatic,Hybrid,5.2,100.0
1107,alfa-romeo,Alfa Romeo Stelvio,grey,09/2022,2022,52990,209,Automatic,Diesel,5.7,1000.0
1108,alfa-romeo,Alfa Romeo Giulia,grey,10/2022,2022,35488,280,Automatic,Petrol,8.0,50.0
1109,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,41850,131,Automatic,Hybrid,6.1,8.0
1110,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,40850,131,Automatic,Hybrid,6.1,6800.0
1111,alfa-romeo,Alfa Romeo Tonale,grey,11/2022,2022,42249,131,Automatic,Hybrid,6.1,20.0
1113,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,49780,280,Automatic,Hybrid,1.4,8000.0
1116,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,44390,131,Automatic,Petrol,6.1,3500.0
1117,alfa-romeo,Alfa Romeo Tonale,grey,07/2022,2022,39099,131,Automatic,Hybrid,6.2,4500.0
1118,alfa-romeo,Alfa Romeo Tonale,green,12/2022,2022,38990,131,Automatic,Petrol,6.2,15.0
1119,alfa-romeo,Alfa Romeo Tonale,green,08/2022,2022,38380,131,Automatic,Petrol,5.8,10000.0
1120,alfa-romeo,Alfa Romeo Tonale,green,06/2022,2022,37689,131,Automatic,Hybrid,6.1,4990.0
1121,alfa-romeo,Alfa Romeo Tonale,green,10/2022,2022,39990,131,Automatic,Petrol,6.2,15.0
1122,alfa-romeo,Alfa Romeo Tonale,green,08/2022,2022,38900,131,Automatic,Hybrid,6.1,6500.0
1123,alfa-romeo,Alfa Romeo Giulia,green,12/2022,2022,86850,510,Automatic,Petrol,9.3,2000.0
1124,alfa-romeo,Alfa Romeo Stelvio,green,07/2022,2022,74890,510,Automatic,Petrol,9.0,18600.0
1126,alfa-romeo,Alfa Romeo Tonale,red,08/2022,2022,39490,131,Automatic,Petrol,6.1,7500.0
1127,alfa-romeo,Alfa Romeo Tonale,red,07/2022,2022,37975,131,Automatic,Petrol,6.0,9000.0
1128,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,37750,131,Automatic,Petrol,5.8,3250.0
1129,alfa-romeo,Alfa Romeo Stelvio,red,08/2022,2022,49990,200,Automatic,Petrol,7.8,2500.0
1130,alfa-romeo,Alfa Romeo Stelvio,red,06/2022,2022,42990,200,Automatic,Petrol,8.5,15.0
1131,alfa-romeo,Alfa Romeo Stelvio,red,04/2022,2022,53990,280,Automatic,Petrol,7.1,10.0
1132,alfa-romeo,Alfa Romeo Stelvio,red,04/2022,2022,53990,280,Automatic,Petrol,7.1,10.0
1133,alfa-romeo,Alfa Romeo Giulia,red,07/2022,2022,50256,190,Automatic,Diesel,5.0,1000.0
1134,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,41290,131,Automatic,Hybrid,6.1,2000.0
1135,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,41529,131,Automatic,Hybrid,5.8,15.0
1136,alfa-romeo,Alfa Romeo Giulia,red,05/2022,2022,34870,190,Automatic,Diesel,4.8,21500.0
1137,alfa-romeo,Alfa Romeo Stelvio,red,06/2022,2022,52349,280,Automatic,Petrol,8.7,15.0
1138,alfa-romeo,Alfa Romeo Giulia,red,12/2022,2022,53900,280,Automatic,Petrol,7.2,10.0
1139,alfa-romeo,Alfa Romeo Giulia,red,04/2022,2022,55990,209,Automatic,Diesel,5.2,20.0
1140,alfa-romeo,Alfa Romeo Stelvio,red,06/2022,2022,49870,280,Automatic,Petrol,8.5,2000.0
1141,alfa-romeo,Alfa Romeo Stelvio,red,06/2022,2022,52999,280,Automatic,Petrol,8.8,15.0
1142,alfa-romeo,Alfa Romeo Stelvio,red,10/2022,2022,56700,280,Automatic,Petrol,7.4,900.0
1143,alfa-romeo,Alfa Romeo Stelvio,red,06/2022,2022,60999,280,Automatic,Petrol,7.3,25.0
1144,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,40499,160,Automatic,Hybrid,5.9,5.0
1145,alfa-romeo,Alfa Romeo Giulia,red,04/2022,2022,49999,200,Automatic,Petrol,6.4,10.0
1146,alfa-romeo,Alfa Romeo Tonale,red,07/2022,2022,40990,131,Automatic,Hybrid,5.7,2500.0
1147,alfa-romeo,Alfa Romeo Giulia,red,03/2022,2022,48900,280,Automatic,Petrol,6.8,9000.0
1148,alfa-romeo,Alfa Romeo Stelvio,red,06/2022,2022,62900,280,Manual,Petrol,7.4,10.0
1149,alfa-romeo,Alfa Romeo Stelvio,red,04/2022,2022,59990,280,Automatic,Petrol,7.2,50.0
1150,alfa-romeo,Alfa Romeo Stelvio,red,06/2022,2022,55499,280,Automatic,Petrol,7.3,18950.0
1151,alfa-romeo,Alfa Romeo Tonale,red,10/2022,2022,46390,160,Automatic,Hybrid,6.5,4478.0
1152,alfa-romeo,Alfa Romeo Stelvio,red,12/2022,2022,48990,209,Automatic,Diesel,5.7,10.0
1153,alfa-romeo,Alfa Romeo Stelvio,red,12/2022,2022,48990,209,Automatic,Diesel,5.7,10.0
1154,alfa-romeo,Alfa Romeo Stelvio,red,12/2022,2022,48990,209,Automatic,Diesel,5.7,10.0
1155,alfa-romeo,Alfa Romeo Stelvio,red,12/2022,2022,48990,209,Automatic,Diesel,5.7,10.0
1156,alfa-romeo,Alfa Romeo Giulia,red,01/2022,2022,45550,280,Automatic,Petrol,7.4,7095.0
1157,alfa-romeo,Alfa Romeo Giulia,red,10/2022,2022,75775,510,Automatic,Petrol,10.3,6000.0
1158,alfa-romeo,Alfa Romeo Giulia,red,10/2022,2022,81987,510,Automatic,Petrol,9.0,700.0
1159,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,49990,280,Automatic,Hybrid,1.4,15.0
1160,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,51900,280,Automatic,Hybrid,1.3,5500.0
